id;tiempo_contratado;fecha_vencimiento;estado;created_date;updated_date;plan_id
1;64705;2023-04-02T17:35:50;true;2023-04-01T20:41:51;2023-04-02T12:37:18;1
2;55068;2023-04-01T21:03:25;true;2023-04-01T21:02:27;2023-04-01T20:37:00;2
3;47421;2023-04-01T23:51:33;true;2023-04-02T05:12:56;2023-04-01T21:36:01;3
4;4643;2023-04-02T00:57:10;true;2023-04-02T15:04:11;2023-04-01T21:56:42;4
5;96934;2023-04-02T12:36:18;true;2023-04-02T09:21:58;2023-04-02T04:39:02;5
6;36452;2023-04-02T01:08:32;false;2023-04-01T22:15:05;2023-04-02T05:45:00;6
7;15940;2023-04-02T13:48:52;true;2023-04-02T06:44:23;2023-04-02T17:46:19;7
8;23963;2023-04-02T10:48:41;false;2023-04-02T13:29:50;2023-04-01T19:26:16;8
9;18589;2023-04-01T22:12:33;true;2023-04-01T23:30:59;2023-04-02T10:55:46;9
10;50545;2023-04-01T23:25:53;false;2023-04-01T18:20:01;2023-04-02T15:25:06;10
