id;numero_mesa;estado;created_date;updated_date
1;10695;false;2023-04-02T16:26:56;2023-04-02T17:08:23
2;98035;true;2023-04-02T11:18:21;2023-04-01T19:42:42
3;16023;false;2023-04-02T11:28:37;2023-04-02T01:00:29
4;92641;true;2023-04-02T04:31:27;2023-04-02T05:17:07
5;26930;false;2023-04-02T07:11:17;2023-04-01T21:06:45
6;82997;true;2023-04-01T23:46:13;2023-04-02T15:32:03
7;88048;false;2023-04-02T14:57:00;2023-04-02T15:10:37
8;57521;false;2023-04-02T14:00:21;2023-04-02T01:02:41
9;80294;false;2023-04-02T02:39:58;2023-04-02T08:49:41
10;90204;false;2023-04-01T19:38:58;2023-04-02T02:12:24
