id;costo_puntos;fecha_canje;estado;created_date;updated_date;asociado_id;evento_id
1;51280;2023-03-02T22:51:18;false;2023-03-02T15:31:54;2023-03-02T09:44:17;1;1
2;69429;2023-03-02T04:39:43;false;2023-03-02T07:35:39;2023-03-02T05:01:56;2;2
3;78981;2023-03-02T13:43:22;false;2023-03-02T12:16:15;2023-03-02T13:31:46;3;3
4;42402;2023-03-02T13:39:50;false;2023-03-02T15:17:39;2023-03-02T04:31:29;4;4
5;4925;2023-03-02T14:41:35;true;2023-03-02T17:18:57;2023-03-02T05:52:15;5;5
6;93261;2023-03-02T12:52:49;true;2023-03-02T03:46:40;2023-03-02T14:24:16;6;6
7;8589;2023-03-02T14:49:40;false;2023-03-02T17:00:27;2023-03-02T17:34:01;7;7
8;96263;2023-03-03T01:40:27;false;2023-03-02T08:42:04;2023-03-02T12:43:09;8;8
9;19093;2023-03-02T02:08:25;true;2023-03-02T17:58:33;2023-03-02T17:07:36;9;9
10;81370;2023-03-02T08:35:19;false;2023-03-02T23:08:57;2023-03-02T12:48:20;10;10
